X Y
1 1.3273589343863
2 1.3542755076172
3 1.3818531887786
4 1.410174465089
5 1.4393326938303
6 1.4694344260534
7 1.5006023505692
8 1.5329790721847
9 1.5667320289862
10  1.602059991328
11  1.6392017993325
12  1.6784483371914
13  1.720159303406
14  1.7647872888257
15  1.8129133566429
16  1.8653014261025
17  1.9229848157089
18  1.987410872692
19  2.0606978403536
20  2.1461280356782
21  2.2491983573911
22  2.3802112417116
23  2.5622928644565
24  2.869231719731
25 7
26  11.119186407719
27  11.414539270491
28  11.585026652029
29  11.704432900038
30  11.795880017344
31  11.869666231505
32  11.931284187631
33  11.984011894616
34  12.029963223377
35  12.070581074286
36  12.106894233915
37  12.139661993429
38  12.169460680157
39  12.196738029033
40  12.221848749616
41  12.245078590335
42  12.266661094033
43  12.286789556549
44  12.305625747353
45  12.323306390375
46  12.339948061694
47  12.355650946556
48  12.370501760325
49  12.384576047114
