Data Point Listing of File C:\Users\x\Documents\software\jcamp\ddd.txt
Starting Point:	1	Ending Point:	825
frequency	intensity
1990,	0,
1994,	0,
1998,	0,
2002,	0,
2006,	0,
2010,	0,
2014,	0,
2018,	0,
2022,	0,
2026,	0,
2030,	0,
2034,	0,
2038,	0,
2042,	0,
2046,	0,
2050,	0,
2054,	0,
2058,	0,
2062,	0,
2066,	0,
2070,	0,
2074,	0,
2078,	0,
2082,	0,
2086,	0,
2090,	0,
2094,	0,
2098,	0,
2102,	0,
2106,	0,
2110,	0,
2114,	0,
2118,	0,
2122,	0,
2126,	0,
2130,	0,
2134,	0,
2138,	0,
2142,	0,
2146,	0,
2150,	0,
2154,	0,
2158,	0,
2162,	0,
2166,	0,
2170,	0,
2174,	0,
2178,	0,
2182,	0,
2186,	0,
2190,	0,
2194,	0,
2198,	0,
2202,	0,
2206,	0,
2210,	0,
2214,	0,
2218,	0,
2222,	0,
2226,	0,
2230,	0,
2234,	0,
2238,	0,
2242,	0,
2246,	0,
2250,	0,
2254,	0,
2258,	0,
2262,	0,
2266,	0,
2270,	0,
2274,	0,
2278,	0,
2282,	0,
2286,	0,
2290,	0,
2294,	0,
2298,	0,
2302,	0,
2306,	0,
2310,	0,
2314,	0,
2318,	0,
2322,	0,
2326,	0,
2330,	0,
2334,	0,
2338,	0,
2342,	0,
2346,	0,
2350,	0,
2354,	0,
2358,	0,
2362,	0,
2366,	0,
2370,	0,
2374,	0,
2378,	0,
2382,	0,
2386,	0,
2390,	0,
2394,	0,
2398,	0,
2402,	0,
2406,	0,
2410,	0,
2414,	0,
2418,	0,
2422,	0,
2426,	0,
2430,	0,
2434,	0,
2438,	0,
2442,	0,
2446,	0,
2450,	0,
2454,	0,
2458,	0,
2462,	0,
2466,	0,
2470,	0,
2474,	0,
2478,	0,
2482,	0,
2486,	0,
2490,	0,
2494,	0,
2498,	0,
2502,	0,
2506,	0,
2510,	0,
2514,	0,
2518,	0,
2522,	0,
2526,	0,
2530,	0,
2534,	0,
2538,	0,
2542,	0,
2546,	0,
2550,	0,
2554,	0,
2558,	0,
2562,	0,
2566,	0,
2570,	0,
2574,	0,
2578,	0,
2582,	0,
2586,	0,
2590,	0,
2594,	0,
2598,	0,
2602,	0,
2606,	0,
2610,	0,
2614,	0,
2618,	0,
2622,	0,
2626,	0,
2630,	0,
2634,	0,
2638,	0,
2642,	0,
2646,	0,
2650,	0,
2654,	0,
2658,	0,
2662,	0,
2666,	0,
2670,	0,
2674,	0,
2678,	0,
2682,	0,
2686,	0,
2690,	0,
2694,	0,
2698,	0,
2702,	0,
2706,	0,
2710,	0,
2714,	0,
2718,	0,
2722,	0,
2726,	0,
2730,	0,
2734,	0,
2738,	0,
2742,	0,
2746,	0,
2750,	0,
2754,	0,
2758,	0,
2762,	0,
2766,	0,
2770,	0,
2774,	0,
2778,	0,
2782,	0,
2786,	0,
2790,	0,
2794,	0,
2798,	0,
2802,	0,
2806,	0,
2810,	0,
2814,	0,
2818,	0,
2822,	0,
2826,	0,
2830,	0,
2834,	0,
2838,	0,
2842,	0,
2846,	0,001
2850,	0,001
2854,	0,001
2858,	0,001
2862,	0,001
2866,	0,001
2870,	0,001
2874,	0,001
2878,	0,001
2882,	0,001
2886,	0,001
2890,	0,001
2894,	0,
2898,	0,
2902,	0,
2906,	0,
2910,	0,
2914,	0,
2918,	0,
2922,	0,
2926,	0,
2930,	0,
2934,	0,
2938,	0,
2942,	0,
2946,	0,
2950,	0,
2954,	0,
2958,	0,
2962,	0,
2966,	0,
2970,	0,
2974,	0,
2978,	0,
2982,	0,
2986,	0,
2990,	0,
2994,	0,
2998,	0,
3002,	0,
3006,	0,
3010,	0,
3014,	0,
3018,	0,
3022,	0,
3026,	0,
3030,	0,001
3034,	0,001
3038,	0,001
3042,	0,001
3046,	0,001
3050,	0,002
3054,	0,002
3058,	0,003
3062,	0,005
3066,	0,008
3070,	0,011
3074,	0,015
3078,	0,016
3082,	0,015
3086,	0,016
3090,	0,015
3094,	0,015
3098,	0,014
3102,	0,009
3106,	0,004
3110,	0,002
3114,	0,001
3118,	0,001
3122,	0,001
3126,	0,001
3130,	0,
3134,	0,
3138,	0,
3142,	0,
3146,	0,
3150,	0,
3154,	0,
3158,	0,
3162,	0,
3166,	0,
3170,	0,
3174,	0,
3178,	0,
3182,	0,
3186,	0,
3190,	0,
3194,	0,
3198,	0,
3202,	0,
3206,	0,
3210,	0,
3214,	0,
3218,	0,
3222,	0,
3226,	0,
3230,	0,
3234,	0,
3238,	0,
3242,	0,
3246,	0,
3250,	0,
3254,	0,
3258,	0,
3262,	0,
3266,	0,
3270,	0,
3274,	0,
3278,	0,
3282,	0,
3286,	0,
3290,	0,
3294,	0,
3298,	0,
3302,	0,
3306,	0,
3310,	0,
3314,	0,
3318,	0,
3322,	0,
3326,	0,
3330,	0,
3334,	0,
3338,	0,
3342,	0,
3346,	0,
3350,	0,
3354,	0,
3358,	0,
3362,	0,
3366,	0,
3370,	0,
3374,	0,
3378,	0,
3382,	0,
3386,	0,
3390,	0,
3394,	0,
3398,	0,
3402,	0,
3406,	0,
3410,	0,
3414,	0,
3418,	0,
3422,	0,
3426,	0,
3430,	0,
3434,	0,
3438,	0,
3442,	0,
3446,	0,
3450,	0,
3454,	0,
3458,	0,
3462,	0,
3466,	0,
3470,	0,
3474,	0,
3478,	0,
3482,	0,
3486,	0,
3490,	0,
3494,	0,
3498,	0,
3502,	0,
3506,	0,
3510,	0,
3514,	0,
3518,	0,
3522,	0,
3526,	0,
3530,	0,
3534,	0,
3538,	0,
3542,	0,
3546,	0,
3550,	0,
3554,	0,
3558,	0,
3562,	0,
3566,	0,
3570,	0,
3574,	0,
3578,	0,
3582,	0,
3586,	0,
3590,	0,
3594,	0,
3598,	0,
3602,	0,
3606,	0,
3610,	0,
3614,	0,
3618,	0,
3622,	0,
3626,	0,
3630,	0,
3634,	0,
3638,	0,
3642,	0,
3646,	0,
3650,	0,
3654,	0,
3658,	0,
3662,	0,
3666,	0,
3670,	0,
3674,	0,
3678,	0,
3682,	0,
3686,	0,
3690,	0,
3694,	0,
3698,	0,
3702,	0,
3706,	0,
3710,	0,
3714,	0,
3718,	0,
3722,	0,
3726,	0,
3730,	0,
3734,	0,
3738,	0,
3742,	0,
3746,	0,
3750,	0,
3754,	0,
3758,	0,
3762,	0,
3766,	0,
3770,	0,
3774,	0,
3778,	0,
3782,	0,
3786,	0,
3790,	0,
3794,	0,
3798,	0,
3802,	0,
3806,	0,
3810,	0,
3814,	0,
3818,	0,
3822,	0,
3826,	0,
3830,	0,
3834,	0,
3838,	0,
3842,	0,
3846,	0,
